,TrialID,paper_id,parsed_country
301,ChiCTR2000029899,19a08cc1423d6006b2251bdcfd142f88db7002e7,China
302,ChiCTR2000029899,4b2b9841f4d7064851b89540f55df916f279a82b,China
303,ChiCTR2000029898,19a08cc1423d6006b2251bdcfd142f88db7002e7,China
304,ChiCTR2000029898,4b2b9841f4d7064851b89540f55df916f279a82b,China
305,ChiCTR2000029829,,China
306,NCT04276688,,Hong Kong
307,NCT04281693,,China
308,NCT04282902,,China
309,ChiCTR2000030552,,China
310,ChiCTR2000030535,,China
311,NCT04252118,e3194f34badda0d3da79d2c00ec844bc24269e73,China
312,NCT04276987,,China
313,ChiCTR2000030593,,China
314,NCT04286503,,China
315,ChiCTR2000030581,,China
316,ChiCTR2000030559,,China
317,ChiCTR2000030557,,China
318,ChiCTR2000030574,,China
319,ChiCTR2000030556,,China
320,ChiCTR2000030522,,China
321,ChiCTR2000030503,,China
322,ChiCTR2000030543,,China
323,ChiCTR2000030541,,China
324,ChiCTR2000030542,,China
325,ChiCTR2000030540,,China
326,NCT04284046,,China
327,NCT04285190,,Russia
328,ChiCTR2000030627,,China
329,ChiCTR2000030518,,China
330,ChiCTR2000030491,,China
331,ChiCTR2000030487,,China
332,ChiCTR2000030485,,China
333,ChiCTR2000030579,,China
334,ChiCTR2000030578,,China
335,ChiCTR2000030492,,China
336,ChiCTR2000030490,,Taiwan
337,ChiCTR2000030472,,China
338,ChiCTR2000030471,,China
339,ChiCTR2000030489,622580ea34c3acc011faa7573bc549e34078edde,China
340,ChiCTR2000030484,,China
341,ChiCTR2000030564,,China
342,ChiCTR2000030544,,China
343,ChiCTR2000030481,,China
344,ChiCTR2000030467,,China
345,ChiCTR2000030469,,China
346,ChiCTR2000030468,,China
347,ChiCTR2000030482,,China
348,ChiCTR2000030475,,China
349,ChiCTR2000030494,,China
350,ChiCTR2000030493,,China
351,ChiCTR2000030480,,China
352,ChiCTR2000030479,,China
353,ChiCTR2000030453,,China
354,ChiCTR2000030312,,China
355,ChiCTR2000030464,,United States
356,ChiCTR2000030163,,China
357,ChiCTR2000030465,,China
358,ChiCTR2000030014,,China
359,ChiCTR2000029993,,China
360,ChiCTR2000029638,,China
361,ChiCTR2000030477,,China
362,ChiCTR2000030436,,China
363,ChiCTR2000030304,,China
364,ChiCTR2000029550,,China
365,ChiCTR2000029580,,China
366,ChiCTR2000029434,,China
367,ChiCTR2000029579,,China
368,ChiCTR2000029433,,China
369,ChiCTR2000029958,,China
370,ChiCTR2000029757,8d6d3be5f9353eb3358b44e646c83f1a90861b4d,China
371,ChiCTR2000029549,,China
372,ChiCTR2000029479,,China
373,ChiCTR2000029308,b12f20ae397aa504f852fc25caeb3e3b0e5b1942,China
374,ChiCTR2000029308,3015d59a4ae7dcbd0072c2d8cd7accf4d6dd679c,China
375,ChiCTR2000029308,b24a645b549461375cdb883c57f720e0c3c6f399,China
376,ChiCTR2000029308,917630308f0265e62aff9b47dd1808be33922b08,China
377,ChiCTR2000029308,8330d31a5ec8b240991ed6d5a0dcbaf967f7dbd0,China
378,ChiCTR2000029308,1766a9d5945897581c80f83276cc723c77e3798d,China
379,ChiCTR2000029308,8868082a33ad12400eb72ee137df74bf7cf73fff,China
380,ChiCTR2000029308,0600766ed9853749cfca4d2ac0b3fb1c0e03c82f,China
381,EUCTR2015-002340-14-NL,,New Zealand;Germany;Netherlands;Denmark;Australia;Croatia;Romania;Belgium;Hungary;Czech Republic;United Kingdom;Ireland;Spain;Greece;Portugal
382,NCT04292327,,China
383,NCT04295551,,China
384,NCT04296643,,Canada
385,NCT04299711,,Macao SAR
386,NCT04292340,,China
387,NCT04293887,,China
388,ChiCTR2000030902,,China
389,NCT04298814,,China
390,ChiCTR2000030898,,China
391,NCT04252274,eba1da4b90ee7cff2811391e12e773baa5cd6c2e,China
392,ChiCTR2000030896,,China
393,ChiCTR2000030897,,China
394,ChiCTR2000030892,,China
395,ChiCTR2000030895,,China
396,ChiCTR2000030894,,China
397,ChiCTR2000030866,,China
398,ChiCTR2000030864,,China
399,ChiCTR2000030901,,China
400,ChiCTR2000030854,,China
401,ChiCTR2000030893,,China
402,ChiCTR2000030863,,China
403,ChiCTR2000030853,,China
404,ChiCTR2000030852,,China
405,ChiCTR2000030883,,China
406,ChiCTR2000030865,,China
407,ChiCTR2000030859,,Chian
408,ChiCTR2000030857,,China
409,ChiCTR2000030862,,China
410,ChiCTR2000030861,,China
411,ChiCTR2000030855,,China
412,ChiCTR2000030850,,China
413,ChiCTR2000030858,,China
414,ChiCTR2000030856,,China
415,ChiCTR2000030838,,China
416,ChiCTR2000030836,,China
417,ChiCTR2000030860,,China
418,ChiCTR2000030812,,China
419,ChiCTR2000030841,,China
420,ChiCTR2000030839,,China
421,ChiCTR2000030849,,China
422,ChiCTR2000030833,,China
423,ChiCTR2000030835,,China
424,ChiCTR2000030834,,China
425,ChiCTR2000030832,,China
426,ChiCTR2000030830,,China
427,ChiCTR2000030810,,China
428,ChiCTR2000030809,,China
429,ChiCTR2000030831,,China
430,ChiCTR2000030816,,China
431,ChiCTR2000030819,,China
432,ChiCTR2000030818,,China
433,ChiCTR2000030806,,China
434,ChiCTR2000030804,,China
435,ChiCTR2000030814,,China
436,ChiCTR2000030807,,China
437,ChiCTR2000030803,,China
